"","OPCS","Prop_IP","Median Mean LOS","Median Median LOS","Admissions","class1","class2","class3","class4","class1_proportion","class2_proportion","class3_proportion","class4_proportion","class1_prop_dc","class2_prop_dc","class3_prop_dc","class4_prop_dc","class1_prop_bed","class2_prop_bed","class3_prop_bed","class4_prop_bed","class1_proportional_cost","class2_proportional_cost","class3_proportional_cost","class4_proportional_cost","value"
"37","A43",0.99873417721519,10.5,7,174.4,16.4,0,158,0,1.99028643134361e-05,0,6.39306342368049e-05,0,2.51934991309319e-08,0,8.09248534643105e-08,0,0.000208980075291079,0,0.000670421948525077,0,0.105226443625137,0,0.338001263209988,0,5287
"38","A44",0.996113486202876,10.628164556962,7,661.4,146.8,0,514.6,0,0.000178154907391002,0,0.00020821964796367,0,6.92401505600478e-07,0,8.09248534643107e-07,0,0.00189345967238189,0,0.00220439185595692,0,1.12682978924808,0,1.31698927337021,0,6325
"39","A45",0.883076923076923,13.1,7,110.8,45.8,13.8,51.2,0,5.55823893631326e-05,3.7833807961805e-05,2.07167624868634e-05,0,6.49886398707397e-06,4.42364523861105e-06,2.42226761384864e-06,0,0.000728129300657037,0.000437673131673841,0.000239657882836493,0,0.351558612721814,0.239298835358417,0.131033522729411,0,6325
"40","A47",0.865591397849462,2.39130434782609,1,38.6,1.4,37.2,0,0,1.6990250023665e-06,0.000101986786679648,0,0,2.28363575586895e-07,1.37079014354366e-05,0,0,4.06288587522424e-06,0.000211101682105724,0,0,0.00657182870915362,0.39448489087688,0,0,3868
"41","A48",0.345012682121158,2.23465211459754,1,3467.6,77,0,2629.6,761,9.34463751301574e-05,0,0.00106399997334875,0.000900538571767126,6.12061906120019e-05,0,0.000696906488766856,0.000589841343768192,0.000208820139786082,0,0.000820326231575908,0.000694300217547412,0.549277793015066,0,6.25419184334394,5.29336572484717,5878
"42","A49",0.994720168954593,9.7,6,241,51.6,0,110.6,78.8,6.26212072300795e-05,0,4.47514439657634e-05,9.3248934895203e-05,3.30629394034209e-07,0,2.36280063177208e-07,4.92338621410785e-07,0.000607425710131772,0,0.000431797089855086,0.000899738983855785,0.396079135730253,0,0.283052883083454,0.589799513212159,6325
"43","A51",0.799295774647887,10.5764705882353,7,303.2,76,0,38.8,188.4,9.22327858427528e-05,0,1.56994215720761e-05,0.000222945423023556,1.8511509834637e-05,0,3.15094024509979e-06,4.4746088423742e-05,0.00097549734673688,0,0.000132718643681785,0.00188472002123804,0.542144315183701,0,0.0922812000006636,1.31047319653246,5878
"44","A57",0.0283238489394723,3.71332644628099,1,49976.2,491.4,0,18747.8,30737,0.000596357775830641,0,0.00758581483889096,0.036373001419719,0.000579466628274134,0,0.0073709553653114,0.0353427780220316,0.00221447110043723,0,0.000797843365476974,0.00382555578820983,1.98348596241271,0,25.2304201541513,120.976602721985,3326
"45","A59",0.248563968668407,3.27536231884058,1,421.8,38.8,0,226.8,156.2,4.70872643513001e-05,0,9.17687838285276e-05,0.000184841162825263,3.53830670504025e-05,0,6.89583707202356e-05,0.000138896309820132,0.000154227851353534,0,7.47123675720867e-05,0.000150486040277674,0.194376227242167,0,0.378821539644162,0.763024320142685,4128
"46","A60",0.0233934880168051,1.86153846153846,1,4200.6,11.4,0,596.8,3592.4,1.38349178764129e-05,0,0.000241479762737501,0.00425111007255745,1.35112708908576e-05,0,0.0002358307088016,0.00415166178001696,2.57542317391687e-05,0,1.05159311729843e-05,0.000185126821498455,0.0571105409938325,0,0.996828460580405,17.5485823795172,4128
